watch_id,name,brand,price,material,reference,condition,image_url
27,Pre-Owned Audemars Piguet Royal Oak Offshore Selfwinding Chronograph Anthracite Dial,Audemars Piguet,52995.0,Rose Gold,26238OK.OO.A002CA.01,Used,https://www.bobswatches.com/audemars-piguet/images/zUsed-Audemars-Piguet-Royal-Oak-Offshore-26238OK.OO.A002CA.01-SKU187366.jpg
28,Used Rolex GMT-Master II Ref 126710BLNR Batgirl,Rolex,20295.0,Stainless Steel,126710BLNR,Used,https://www.bobswatches.com/images/zUsed-Rolex-GMT-Master-II-126710-SKU186981.jpg
29,Pre-Owned Rolex Lady Datejust 69173 Blue Dial,Rolex,6195.0,Steel and Gold,69173,Used,https://www.bobswatches.com/images/zUsed-Rolex-Lady-Datejust-69173-SKU186362.jpg
30,Pre-Owned Rolex Cellini 6663 18k Yellow Gold,Rolex,18995.0,Yellow Gold,6663,Used,https://www.bobswatches.com/images/zUsed-Rolex-Cellini-6663-SKU187377.jpg
31,Pre-Owned Lady Rolex Datejust 69173 Black Tapestry Dial,Rolex,6795.0,Steel and Gold,69173,Used,https://www.bobswatches.com/images/zUsed-Rolex-Lady-Datejust-69173-SKU186255.jpg
32,Used Rolex GMT-Master II Pepsi 126710BLRO Jubilee Band,Rolex,28995.0,Stainless Steel,126710BLRO,Used,https://www.bobswatches.com/images/zUsed-Rolex-GMT-Master-II-126710-Black-Dial-SKU187349-PL.jpg
33,Aquis Date Green Dial Calibre 400,Oris,2095.0,Stainless Steel,01 400 7769 4127-07 4 22 77FC,New,https://www.bobswatches.com/oris/images/zOris-Aquis-01-400-7769-4127-07-4-22-77FC-SKU185094.jpg
34,Pre-Owned Rolex Yacht-Master II White Dial 116680 Blue Bezel,Rolex,17995.0,Stainless Steel,116680WAO,Used,https://www.bobswatches.com/images/zUsed-Rolex-Yacht-Master-II-116680-184344.jpg
35,Used Omega Seamaster Planet Ocean 600M Orange Bezel,Omega,7995.0,Stainless Steel,215.30.46.51.99.001,Used,https://www.bobswatches.com/omega/images/zUsed-OMEGA-Seamaster-Planet-Ocean-215.30.46.51.99.001-SKU187019.jpg
36,Pre-Owned Chronomat Automatic GMT 40 NFL Miami Dolphins Edition,Breitling,6995.0,Stainless Steel,A32398B11L1A1,Used,https://www.bobswatches.com/breitling/images/zUsed-Breitling-Chronomat-A32398B11L1A1-SKU186425.jpg
37,Pre-Owned Black Dial Rolex Submariner 114060LN,Rolex,12595.0,Stainless Steel,114060,Used,https://www.bobswatches.com/images/zUsed-Rolex-Submariner-114060-SKU187150.jpg
38,Rolex Sky-Dweller Ref 326235 Chocolate Dial,Rolex,36995.0,Rose Gold,326235,Used,https://www.bobswatches.com/images/zUsed-Rolex-Sky-Dweller-326235-Chocolate-Index-Dial-SKU-183605-PL.jpg
39,Used Tudor Heritage Black Bay Ref 79030B Blue,Tudor,3995.0,Stainless Steel,TUD79030B-0001,Used,https://www.bobswatches.com/tudor/images/zUsed-Tudor-Black-Bay-79030-Blue-Luminous-Dial-SKU182366.jpg
40,Rolex Day-Date 118208 Yellow Gold Oyster,Rolex,21995.0,Yellow Gold,118208,Used,https://www.bobswatches.com/images/zUsed-Rolex-Day-Date-118208-Diamond-Dial-SKU172936.jpg
41,Breitling Navitimer Automatic 35 Stainless Steel Blue Dial,Breitling,3995.0,Stainless Steel,A17395161C1A1,Used,https://www.bobswatches.com/breitling/images/zUsed-Breitling-Navitimer-A17395-Blue-Index-Dial-SKU169315.jpg
42,Used Stainless Steel Rolex Submariner 14060M Black Dial,Rolex,12595.0,Stainless Steel,14060M,Used,https://www.bobswatches.com/images/zUsed-Rolex-Submariner-14060M-SKU186417.jpg
